policy_id,age,customer_months,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud
122576,37,189,2024-08-21,C,500/1000,1000,1465.71,5000000,455456,FEMALE,Masters,protective-serv,reading,not-in-family,62203,0,2025-12-22,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,S5,Riverwood,21,1,?,0,3,?,74155.5,6029,5752,44452,Nissan,Maxima,2011,0
937713,44,234,2009-01-04,B,250/500,500,821.24,0,591805,MALE,JD,craft-repair,polo,other-relative,31606,0,2026-02-18,Multi-vehicle Collision,Side Collision,Minor Damage,Other,S5,Springfield,4,3,?,2,1,YES,68418.0,5376,10156,37347,Honda,Civic,2007,0
680237,33,23,2007-02-06,B,500/1000,1000,1844.0,0,442490,FEMALE,High School,machine-op-inspct,skydiving,wife,0,-43166,2026-01-18,Single Vehicle Collision,Side Collision,Total Loss,Police,S3,Northbend,0,1,?,2,1,NO,64569.15,4460,9247,33644,Jeep,Wrangler,2013,0
513080,42,210,2019-11-14,A,500/1000,500,1867.29,0,439408,MALE,JD,transport-moving,video-games,own-child,0,-49440,2026-02-02,Multi-vehicle Collision,Front Collision,Major Damage,Fire,S3,Northbend,20,3,YES,2,2,YES,92963.70000000001,11043,5955,53548,Suburu,Legacy,2014,1
192875,29,81,2013-01-08,A,100/300,1000,816.25,0,640575,FEMALE,MD,craft-repair,video-games,own-child,75296,-73689,2026-02-09,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,S2,Northbend,9,3,YES,2,1,YES,80630.1,5617,10301,41550,Ford,F150,2015,0
690246,47,305,2010-08-14,C,100/300,500,1592.15,0,483650,FEMALE,JD,adm-clerical,sleeping,unmarried,11208,0,2026-01-14,Multi-vehicle Collision,Rear Collision,Major Damage,Police,S2,Springfield,11,4,YES,0,2,NO,78264.90000000001,12975,6619,39006,Saab,93,2007,1
750108,48,308,2020-06-18,C,250/500,1000,1442.75,3000000,462503,MALE,PhD,exec-managerial,golf,other-relative,56711,-36076,2026-02-14,Multi-vehicle Collision,Side Collision,Total Loss,Fire,S1,Arlington,17,3,?,0,0,NO,72485.55,5731,5685,42042,Toyota,Highlander,2024,0
237180,30,103,2019-01-02,C,500/1000,1000,1325.87,0,460080,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,72114,0,2026-03-02,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,S3,Columbus,4,3,NO,2,2,YES,85514.40000000001,11427,5429,43300,Suburu,Legacy,2023,0
300549,42,46,2021-11-12,A,100/300,2000,950.27,0,610944,FEMALE,MD,priv-house-serv,video-games,husband,44093,-66167,2026-01-31,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,S2,Hillsdale,23,3,NO,1,3,?,100804.5,12864,20141,44657,Dodge,RAM,2015,1
532414,41,280,2009-11-10,B,250/500,1000,1314.43,6000000,455585,FEMALE,High School,sales,camping,other-relative,69374,-70440,2026-01-13,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,S1,Columbus,16,3,?,1,3,YES,74903.40000000001,6128,12680,37788,Saab,92x,2018,0
780600,36,189,2005-10-16,A,100/300,500,1484.89,0,464708,FEMALE,JD,adm-clerical,hiking,own-child,45188,0,2026-01-21,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,S2,Columbus,6,1,?,2,0,YES,59231.25000000001,4805,5044,35665,Suburu,Forrestor,2014,0
